ID,Data_Pub,Link,Titulo,Aba,Views,Local,Status,Data_Extracao
HMk5yQwrvtQ,13/03/2026,https://www.youtube.com/watch?v=HMk5yQwrvtQ,"A rotina que ajuda a prevenir o câncer | Quem avisa, amigo_h",Videos,,einstein_Parte_7,Sucesso,2026-06-23
gtj0E8mXIVg,09/03/2026,https://www.youtube.com/watch?v=gtj0E8mXIVg,Webinar Terapias Avançadas | Embrapii | ANVISA respondetudo sobre regulação de terapias avancadas,Videos,,einstein_Parte_7,Sucesso,2026-06-23
OIUgK2aQyZo,09/03/2026,https://www.youtube.com/watch?v=OIUgK2aQyZo,Webinar Terapias Avançadas | Embrapii | O Transposon Sleeping Beauty e a engenharia gênica,Videos,,einstein_Parte_8,Sucesso,2026-06-23
5-5c-AIYQgg,09/03/2026,https://www.youtube.com/watch?v=5-5c-AIYQgg,Webinar Terapias Avançadas | Embrapii |  Como Anvisa e CMED precificam terapias avançadas no Brasil,Videos,,einstein_Parte_8,Sucesso,2026-06-23
a-5sbCz4OYo,06/03/2026,https://www.youtube.com/watch?v=a-5sbCz4OYo,Einstein | O 16º melhor hospital do mundo | World's Best Hospitals 2026,Videos,,,Sem Legenda,2026-06-23
GRq6AKDe5CY,02/03/2026,https://www.youtube.com/watch?v=GRq6AKDe5CY,Global Clinical Data for Climate Health | Mayo Clinic Platform | Science Arena,Videos,,einstein_Parte_8,Sucesso,2026-06-23
eH8UhgCh9q4,02/03/2026,https://www.youtube.com/watch?v=eH8UhgCh9q4,Vaccines on the Frontline of Climate Change | Jerome H. Kim | Science Arena,Videos,,einstein_Parte_8,Sucesso,2026-06-23
vapVd0MKkyU,02/03/2026,https://www.youtube.com/watch?v=vapVd0MKkyU,Science Diplomacy 2025: Climate Crisis & Global Health | Full Event | Science Arena,Videos,,einstein_Parte_9,Sucesso,2026-06-23
ExeRLUaskaw,02/03/2026,https://www.youtube.com/watch?v=ExeRLUaskaw,Formação científica: habilidades e transição de carreira | Science Arena Encontros – Ep. 3,Videos,,einstein_Parte_9,Sucesso,2026-06-23
nQrq00eG6XM,01/03/2026,https://www.youtube.com/watch?v=nQrq00eG6XM,Colaboração na ciência: como construir pontes entre áreas | Science Arena Encontros – Ep. 4,Videos,,einstein_Parte_9,Sucesso,2026-06-23
